group,year,count,10yrGeomean
sockeye,2018,276,786
sockeye,2019,81,600
yakima,1984,1668,
yakima,1985,1299,
yakima,1986,2945,
yakima,1987,1851,
yakima,1988,2143,
yakima,1989,1097,
yakima,1990,757,
yakima,1991,1409,
yakima,1992,1318,
yakima,1993,866,1422
yakima,1994,868,1332
yakima,1995,649,1243
yakima,1996,465,1033
yakima,1997,1224,991
yakima,1998,1070,925
yakima,1999,1479,953
yakima,2000,1853,1042
yakima,2001,4612,1173
yakima,2002,2758,1263
yakima,2003,3035,1432
yakima,2004,3343,1639
yakima,2005,2022,1836
yakima,2006,1583,2075
yakima,2007,2233,2204
yakima,2008,3595,2488
yakima,2009,5421,2833
yakima,2010,6428,3208
yakima,2011,5384,3258
yakima,2012,6128,3529
yakima,2013,3583,3588
yakima,2014,5842,3794
yakima,2015,4402,4101
yakima,2016,12,2517
yakima,2017,1276,2380
yakima,2018,1098,2114
yakima,2019,656,1711
