"ESU_DPS","MAJORPOPGROUP","SPAWNINGYEAR","COUNT","HCOUNT"
"Steelhead (Snake River Basin DPS)","Lower Snake",1998,270,166
"Steelhead (Snake River Basin DPS)","Lower Snake",1999,465,87
"Steelhead (Snake River Basin DPS)","Lower Snake",2000,383,48
"Steelhead (Snake River Basin DPS)","Lower Snake",2001,760,84
"Steelhead (Snake River Basin DPS)","Lower Snake",2002,666,74
"Steelhead (Snake River Basin DPS)","Lower Snake",2003,690,76
"Steelhead (Snake River Basin DPS)","Lower Snake",2004,636,71
"Steelhead (Snake River Basin DPS)","Lower Snake",2005,730,49
"Steelhead (Snake River Basin DPS)","Lower Snake",2006,638,58
"Steelhead (Snake River Basin DPS)","Lower Snake",2007,306,65
"Steelhead (Snake River Basin DPS)","Lower Snake",2008,308,20
"Steelhead (Snake River Basin DPS)","Lower Snake",2009,363,12
"Steelhead (Snake River Basin DPS)","Lower Snake",2010,1411,7
"Steelhead (Snake River Basin DPS)","Lower Snake",2011,1128,4
"Steelhead (Snake River Basin DPS)","Lower Snake",2012,915,15
"Steelhead (Snake River Basin DPS)","Lower Snake",2013,539,1
"Steelhead (Snake River Basin DPS)","Lower Snake",2014,532,10
"Steelhead (Snake River Basin DPS)","Lower Snake",2015,839,2
"Steelhead (Snake River Basin DPS)","Salmon",2013,1077,581
"Steelhead (Snake River Basin DPS)","Salmon",2014,889,407
"Steelhead (Snake River Basin DPS)","Salmon",2015,1755,1144
"Steelhead (Upper Columbia River DPS)","North Cascades",1980,143,1458
"Steelhead (Upper Columbia River DPS)","North Cascades",1981,206,1339
"Steelhead (Upper Columbia River DPS)","North Cascades",1982,427,2905
"Steelhead (Upper Columbia River DPS)","North Cascades",1983,455,3746
"Steelhead (Upper Columbia River DPS)","North Cascades",1984,535,13010
"Steelhead (Upper Columbia River DPS)","North Cascades",1985,680,10863
"Steelhead (Upper Columbia River DPS)","North Cascades",1986,1302,12914
"Steelhead (Upper Columbia River DPS)","North Cascades",1987,1016,8299
"Steelhead (Upper Columbia River DPS)","North Cascades",1988,2117,4909
"Steelhead (Upper Columbia River DPS)","North Cascades",1989,1406,3317
"Steelhead (Upper Columbia River DPS)","North Cascades",1990,1446,3073
"Steelhead (Upper Columbia River DPS)","North Cascades",1991,876,2284
"Steelhead (Upper Columbia River DPS)","North Cascades",1992,1565,3617
"Steelhead (Upper Columbia River DPS)","North Cascades",1993,815,4879
"Steelhead (Upper Columbia River DPS)","North Cascades",1994,454,1769
"Steelhead (Upper Columbia River DPS)","North Cascades",1995,432,2554
"Steelhead (Upper Columbia River DPS)","North Cascades",1996,475,1367
"Steelhead (Upper Columbia River DPS)","North Cascades",1997,440,2340
"Steelhead (Upper Columbia River DPS)","North Cascades",1998,381,3873
"Steelhead (Upper Columbia River DPS)","North Cascades",1999,445,2365
"Steelhead (Upper Columbia River DPS)","North Cascades",2000,731,3400
"Steelhead (Upper Columbia River DPS)","North Cascades",2001,1242,5880
"Steelhead (Upper Columbia River DPS)","North Cascades",2002,2930,17423
"Steelhead (Upper Columbia River DPS)","North Cascades",2003,1618,8427
"Steelhead (Upper Columbia River DPS)","North Cascades",2004,1577,9553
"Steelhead (Upper Columbia River DPS)","North Cascades",2005,1557,9185
"Steelhead (Upper Columbia River DPS)","North Cascades",2006,1576,5698
"Steelhead (Upper Columbia River DPS)","North Cascades",2007,913,5179
"Steelhead (Upper Columbia River DPS)","North Cascades",2008,1725,5001
"Steelhead (Upper Columbia River DPS)","North Cascades",2009,1621,6592
"Steelhead (Upper Columbia River DPS)","North Cascades",2010,3951,14515
"Steelhead (Upper Columbia River DPS)","North Cascades",2011,3752,5484
"Steelhead (Upper Columbia River DPS)","North Cascades",2012,2605,7368
"Steelhead (Upper Columbia River DPS)","North Cascades",2013,1710,5722
"Steelhead (Upper Columbia River DPS)","North Cascades",2014,2883,3178
"Steelhead (Upper Columbia River DPS)","North Cascades",2015,2616,3719
"Steelhead (Upper Columbia River DPS)","North Cascades",2016,1657,4351
"Steelhead (Upper Columbia River DPS)","North Cascades",2017,1000,2873
