"year","group","flow","spill","temp"
1980,"srchinook",94.9087273587883,0.0337787945724203,0
1980,"fallchinook",86.5604127345082,3.44917851051734,0
1980,"srsteelhead",32.3070071826225,0.0066029177850681,0
1980,"ucchinook",121.039684715559,10.8004797806717,0
1980,"ucsteelhead",78.8541756919374,0.295691937424789,0
1980,"sockeye",40.0440625,0.0185729166666667,0
1981,"srchinook",79.27127730667,6.44725756233388,0
1981,"fallchinook",86.6699077553809,14.5599144744334,0
1981,"srsteelhead",27.5310529402993,0.296166028731918,0
1981,"ucchinook",127.877874080131,13.2622403924775,0
1981,"ucsteelhead",107.096568191915,3.19782318969347,0
1981,"sockeye",39.7239311926606,0.109270642201835,0
1982,"srchinook",133.588102728732,33.8098585874799,0
1982,"fallchinook",125.421782536765,24.2469544117647,0
1982,"srsteelhead",39.7663472405272,1.87155653487095,0
1982,"ucchinook",167.338406374502,87.7725099601594,0
1982,"ucsteelhead",95.5949018905116,3.95646447450945,0
1982,"sockeye",71.5513033175355,0.523042654028436,0
1983,"srchinook",101.360388668976,3.64818456209797,0
1983,"fallchinook",116.034396121884,19.1987950138504,0
1983,"srsteelhead",35.52471751432,2.61869880589431,0
1983,"ucchinook",154.613789912078,54.0861175381768,0
1983,"ucsteelhead",91.7694539624658,2.22864732325296,0
1983,"sockeye",61.3926475409836,0,0
1984,"srchinook",159.167250461538,41.5927504615385,0
1984,"fallchinook",141.198399057947,40.1377291050498,0
1984,"srsteelhead",40.8775631479402,1.36266705100586,0
1984,"ucchinook",145.141324869792,31.5235026041667,0
1984,"ucsteelhead",88.855925796017,1.68610234225808,0
1984,"sockeye",57.7738085106383,0,0
1985,"srchinook",80.410539964476,0.00167822380106572,0
1985,"fallchinook",77.3686036530771,2.95870065062974,0
1985,"srsteelhead",35.957263373374,0.0607642470644843,0
1985,"ucchinook",136.667276249516,21.0337233630376,0
1985,"ucsteelhead",69.1665823148814,0.232204169662114,0
1985,"sockeye",34.4593428571429,0,0
1986,"srchinook",97.456627812213,0.0108028581267218,0
1986,"fallchinook",96.4213638958938,8.36685388019223,0
1986,"srsteelhead",41.5465969723106,2.42951342087262,0
1986,"ucchinook",137.111592664093,26.8063996138996,0
1986,"ucsteelhead",95.8998526522593,0.870963564922308,0
1986,"sockeye",37.1652,0,0
1987,"srchinook",69.638910514032,0.00267347868161894,0
1987,"fallchinook",52.9764311118591,0,0
1987,"srsteelhead",21.9420725862782,0.00756981368761671,0
1987,"ucchinook",132.00177383592,15.671866962306,0
1987,"ucsteelhead",87.4415983175605,0.12186470382054,0
1987,"sockeye",19.2880344827586,0,0
1988,"srchinook",55.9885816133904,0,0
1988,"fallchinook",52.8292713931582,0,0
1988,"srsteelhead",21.0310818887466,0,0
1988,"ucchinook",111.302495840266,11.4790605401254,0
1988,"ucsteelhead",87.9178596110179,0.367657221838286,0
1988,"sockeye",20.3337826086956,0,0
1989,"srchinook",85.8874647815781,0,0
1989,"fallchinook",70.722471048951,0,0
1989,"srsteelhead",27.5447515971609,0,0
1989,"ucchinook",149.597018384057,32.0503630465008,0
1989,"ucsteelhead",70.9996156370113,0.912758976281991,0
1989,"sockeye",43.496,0,0
1990,"srchinook",61.4345063833841,0,11.0572854420732
1990,"fallchinook",62.9321090789257,0.00144241225902126,9.83992008568133
1990,"srsteelhead",24.2487532844405,0.000272182064404931,6.51875798026698
1990,"ucchinook",137.642941942956,25.7283190965687,0
1990,"ucsteelhead",103.860651340996,5.99699872286079,0
1990,"sockeye",0,0,0
1991,"srchinook",81.9582877895563,0,10.4668857479388
1991,"fallchinook",66.584684895206,0.487550108407613,13.2431019031559
1991,"srsteelhead",22.3947878283739,0.00436028730536655,15.0784139528397
1991,"ucchinook",160.33493417845,43.8588493417845,0
1991,"ucsteelhead",110.099023381808,6.21450670088395,0
1991,"sockeye",40.514625,0,18.415
1992,"srchinook",56.1116985535341,0,0.0225347450044736
1992,"fallchinook",44.9809262985896,0,0.965541193670451
1992,"srsteelhead",17.154328228077,0.00251067975593847,8.79233248842029
1992,"ucchinook",117.676894376832,14.4358976636759,10.5069792129342
1992,"ucsteelhead",87.3541538009116,2.12790030877812,18.2535080135274
1992,"sockeye",23.4482666666667,0,7.23353333333333
1993,"srchinook",135.935348554217,33.4934351807229,12.4795161445783
1993,"fallchinook",91.8977719818312,2.44300272531676,14.6711887640449
1993,"srsteelhead",33.2816222282193,0.0684327501161937,7.14460594611613
1993,"ucchinook",125.53374357969,34.941725740051,9.3433125857675
1993,"ucsteelhead",85.2068250500637,2.06456235208447,18.8611927908247
1993,"sockeye",51.4185,0,17.6744166666667
1994,"srchinook",78.7702888888889,20.8089310541311,12.8146968660969
1994,"fallchinook",43.7331616354604,6.59121283912877,17.524830722201
1994,"srsteelhead",19.3291506203996,0.0415134174553102,5.14073650893796
1994,"ucchinook",108.47313283208,14.0535338345865,10.4948932330827
1994,"ucsteelhead",73.6507231250932,3.56045922170866,18.4873402415387
1994,"sockeye",24.9866,0,21.0812
1995,"srchinook",98.301878238342,19.1426943005181,12.307603626943
1995,"fallchinook",77.339885924563,5.26484728610856,17.0669084636615
1995,"srsteelhead",31.1232839597789,0.441044958133897,15.7310410621746
1995,"ucchinook",124.258985959438,31.419600624025,10.6090561622465
1995,"ucsteelhead",90.8368985540509,8.37399357355979,19.0507234335552
1995,"sockeye",47.3196666666667,0,19.6293333333333
1996,"srchinook",135.413209283388,52.2194128664495,8.49687866449511
1996,"fallchinook",107.611659008464,32.5557206771463,12.8311126058041
